Node{identificator='67_69_67', x='919', y='740', raw='4', id='', cor='-3515642', connected='', minorisWay=''}
Node{identificator='98_93_44', x='899', y='751', raw='4', id='', cor='-13393518', connected='', minorisWay=''}
Node{identificator='29_30_36', x='887', y='756', raw='4', id='', cor='-1362259', connected='', minorisWay=''}
Node{identificator='85_56_34', x='888', y='767', raw='4', id='', cor='-14010060', connected='', minorisWay=''}
Node{identificator='46_81_84', x='879', y='780', raw='4', id='', cor='-9374441', connected='', minorisWay=''}
Node{identificator='24_99_19', x='865', y='785', raw='4', id='', cor='-14511891', connected='', minorisWay=''}
Node{identificator='54_17_42', x='851', y='790', raw='4', id='', cor='-9463440', connected='', minorisWay=''}
Node{identificator='14_22_69', x='852', y='807', raw='4', id='', cor='-1590949', connected='', minorisWay=''}
Node{identificator='70_55_36', x='859', y='830', raw='4', id='', cor='-9045448', connected='', minorisWay=''}
Node{identificator='33_31_38', x='866', y='848', raw='4', id='', cor='-11402473', connected='', minorisWay=''}
Node{identificator='35_28_42', x='874', y='867', raw='4', id='', cor='-10841029', connected='', minorisWay=''}
Node{identificator='50_90_49', x='862', y='870', raw='4', id='', cor='-5318592', connected='', minorisWay=''}
Node{identificator='50_75_38', x='854', y='845', raw='4', id='', cor='-12065484', connected='', minorisWay=''}
Node{identificator='96_98_12', x='906', y='720', raw='4', id='', cor='-4046950', connected='', minorisWay=''}
Node{identificator='77_42_41', x='901', y='722', raw='4', id='', cor='-11985582', connected='', minorisWay=''}
Node{identificator='83_19_74', x='889', y='714', raw='4', id='', cor='-9752279', connected='', minorisWay=''}
Node{identificator='80_42_84', x='882', y='721', raw='4', id='', cor='-16659185', connected='', minorisWay=''}
Node{identificator='95_19_84', x='889', y='717', raw='4', id='', cor='-9581242', connected='', minorisWay=''}
Node{identificator='95_34_25', x='884', y='724', raw='4', id='', cor='-5607205', connected='', minorisWay=''}
Node{identificator='19_26_26', x='879', y='708', raw='4', id='', cor='-3424594', connected='', minorisWay=''}
Node{identificator='38_16_84', x='877', y='713', raw='4', id='', cor='-9777614', connected='', minorisWay=''}
