Node{identificator='18_34_19', x='211', y='690', raw='5', id='10000', cor='-4196306', connected='92_23_29', minorisWay=''}
Node{identificator='63_13_65', x='237', y='661', raw='5', id='46.995216', cor='-7136455', connected='20_20_52 41_84_53', minorisWay='18_34_19 92_23_29'}
Node{identificator='92_23_29', x='239', y='677', raw='5', id='30.870699', cor='-10405246', connected='63_13_65 46_64_27', minorisWay='18_34_19'}
Node{identificator='34_16_34', x='220', y='618', raw='5', id='93.25416', cor='-7361202', connected='33_79_85 48_31_28', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52'}
Node{identificator='20_20_52', x='231', y='644', raw='5', id='65.02297', cor='-11871341', connected='34_16_34', minorisWay='18_34_19 92_23_29 63_13_65'}
Node{identificator='33_79_85', x='205', y='584', raw='5', id='130.41597', cor='-3446150', connected='32_21_65 69_54_14', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34'}
Node{identificator='69_54_14', x='251', y='559', raw='5', id='182.77054', cor='-14124552', connected='31_31_56 34_43_55', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85'}
Node{identificator='34_43_55', x='273', y='549', raw='5', id='206.93663', cor='-3785938', connected='11_39_85 15_19_98', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 69_54_14'}
Node{identificator='15_19_98', x='263', y='418', raw='5', id='338.31775', cor='-2028207', connected='55_73_57 17_40_50', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 69_54_14 34_43_55'}
Node{identificator='17_40_50', x='234', y='422', raw='5', id='333.2407', cor='-1773083', connected='94_19_46 15_19_98', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 69_54_14 31_31_56 25_93_92'}
Node{identificator='25_93_92', x='215', y='460', raw='5', id='290.7554', cor='-427294', connected='17_40_50', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 69_54_14 31_31_56'}
Node{identificator='31_31_56', x='212', y='476', raw='5', id='274.4766', cor='-3732159', connected='25_93_92', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 69_54_14'}
Node{identificator='11_39_85', x='305', y='533', raw='5', id='242.71371', cor='-11098462', connected='17_29_82', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 69_54_14 34_43_55'}
Node{identificator='17_29_82', x='318', y='520', raw='5', id='261.09848', cor='-7579880', connected='51_85_98', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 69_54_14 34_43_55 11_39_85'}
Node{identificator='51_85_98', x='322', y='506', raw='5', id='275.6587', cor='-9173912', connected='15_61_17', minorisWay='18_34_19 92_23_29 63_13_65 20_20_52 34_16_34 33_79_85 69_54_14 34_43_55 11_39_85 17_29_82'}
