Node{identificator='79_84_83', x='840', y='564', raw='5', id='10000', cor='-7571868', connected='13_36_76', minorisWay=''}
Node{identificator='13_36_76', x='855', y='557', raw='5', id='16.552946', cor='-14411157', connected='43_71_14', minorisWay='79_84_83'}
Node{identificator='43_71_14', x='861', y='581', raw='5', id='41.29158', cor='-13693580', connected='42_26_95 25_99_81', minorisWay='79_84_83 13_36_76'}
Node{identificator='42_26_95', x='864', y='599', raw='5', id='59.539867', cor='-4818128', connected='32_13_61', minorisWay='79_84_83 13_36_76 43_71_14'}
Node{identificator='32_13_61', x='866', y='614', raw='5', id='74.672615', cor='-10315120', connected='18_12_50', minorisWay='79_84_83 13_36_76 43_71_14 42_26_95'}
Node{identificator='18_12_50', x='843', y='629', raw='5', id='102.131676', cor='-1910247', connected='15_40_45', minorisWay='79_84_83 13_36_76 43_71_14 42_26_95 32_13_61'}
Node{identificator='57_53_38', x='796', y='593', raw='5', id='10000', cor='-3575949', connected='79_84_83 25_99_81', minorisWay=''}
Node{identificator='25_99_81', x='811', y='612', raw='5', id='100.12184', cor='-2329791', connected='26_45_80', minorisWay='79_84_83 13_36_76 43_71_14'}
Node{identificator='15_40_45', x='827', y='658', raw='5', id='135.25267', cor='-2588002', connected='64_67_97', minorisWay='79_84_83 13_36_76 43_71_14 42_26_95 32_13_61 18_12_50'}
Node{identificator='64_67_97', x='813', y='685', raw='5', id='165.66649', cor='-5511261', connected='16_54_19', minorisWay='79_84_83 13_36_76 43_71_14 42_26_95 32_13_61 18_12_50 15_40_45'}
Node{identificator='16_54_19', x='756', y='709', raw='5', id='227.51308', cor='-15964200', connected='62_44_22', minorisWay='79_84_83 13_36_76 43_71_14 42_26_95 32_13_61 18_12_50 15_40_45 64_67_97'}
Node{identificator='62_44_22', x='753', y='704', raw='5', id='233.34402', cor='-9053437', connected='52_33_73', minorisWay='79_84_83 13_36_76 43_71_14 42_26_95 32_13_61 18_12_50 15_40_45 64_67_97 16_54_19'}
Node{identificator='52_33_73', x='729', y='714', raw='5', id='259.34402', cor='-301047', connected='12_55_10', minorisWay='79_84_83 13_36_76 43_71_14 42_26_95 32_13_61 18_12_50 15_40_45 64_67_97 16_54_19 62_44_22'}
Node{identificator='11_92_71', x='745', y='678', raw='5', id='213.89578', cor='-15523185', connected='62_44_22', minorisWay='79_84_83 13_36_76 43_71_14 25_99_81 26_45_80 65_71_13'}
Node{identificator='65_71_13', x='736', y='652', raw='5', id='186.38216', cor='-5107130', connected='11_92_71 24_85_12', minorisWay='79_84_83 13_36_76 43_71_14 25_99_81 26_45_80'}
Node{identificator='26_45_80', x='785', y='634', raw='5', id='134.18062', cor='-3770615', connected='65_71_13', minorisWay='79_84_83 13_36_76 43_71_14 25_99_81'}
Node{identificator='24_85_12', x='731', y='658', raw='5', id='194.19241', cor='-16034112', connected='86_34_82', minorisWay='79_84_83 13_36_76 43_71_14 25_99_81 26_45_80 65_71_13'}
Node{identificator='12_55_10', x='716', y='674', raw='5', id='217.82678', cor='-3837824', connected='45_52_96', minorisWay='79_84_83 13_36_76 43_71_14 25_99_81 26_45_80 65_71_13 24_85_12 86_34_82 18_52_35'}
Node{identificator='45_52_96', x='670', y='538', raw='5', id='361.39557', cor='-14927448', connected='36_30_85 76_43_66', minorisWay='79_84_83 13_36_76 43_71_14 25_99_81 26_45_80 65_71_13 24_85_12 86_34_82 18_52_35 12_55_10'}
Node{identificator='36_30_85', x='696', y='505', raw='5', id='403.40747', cor='-6066855', connected='45_65_37', minorisWay='79_84_83 13_36_76 43_71_14 25_99_81 26_45_80 65_71_13 24_85_12 86_34_82 18_52_35 12_55_10 45_52_96'}
Node{identificator='45_65_37', x='659', y='471', raw='5', id='453.65686', cor='-5915981', connected='93_49_37', minorisWay='79_84_83 13_36_76 43_71_14 25_99_81 26_45_80 65_71_13 24_85_12 86_34_82 18_52_35 12_55_10 45_52_96 36_30_85'}
