Node{identificator='77_30_59', x='956', y='715', raw='4', id='10000', cor='-15267288', connected='96_28_22', minorisWay=''}
Node{identificator='89_16_75', x='-995', y='1191', raw='4', id='3178.624', cor='-3712116', connected='93_41_71', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97 82_11_85 48_76_24 29_69_38 51_57_63 81_36_82 91_27_93 76_40_66 45_22_31 83_37_37 30_71_81 87_79_62 92_38_77 62_39_17 56_44_88 91_41_26 80_47_10 95_18_35 91_33_13 96_67_91 11_21_95 21_42_81 30_77_15 87_94_30 86_57_44 70_14_65 66_40_11 15_52_29 31_91_70 49_34_83 70_88_15 96_50_71 21_31_83 73_80_23 80_95_10 75_42_80 73_10_13 12_55_66 79_53_16 52_32_29 79_15_53 13_97_34 71_46_80 83_91_95 69_87_18 17_29_44 66_70_33 39_12_73 95_83_91 46_53_34 57_33_11 54_75_94 28_97_42 26_21_77 77_46_31'}
Node{identificator='77_46_31', x='-987', y='1161', raw='4', id='3147.5757', cor='-3041356', connected='89_16_75', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97 82_11_85 48_76_24 29_69_38 51_57_63 81_36_82 91_27_93 76_40_66 45_22_31 83_37_37 30_71_81 87_79_62 92_38_77 62_39_17 56_44_88 91_41_26 80_47_10 95_18_35 91_33_13 96_67_91 11_21_95 21_42_81 30_77_15 87_94_30 86_57_44 70_14_65 66_40_11 15_52_29 31_91_70 49_34_83 70_88_15 96_50_71 21_31_83 73_80_23 80_95_10 75_42_80 73_10_13 12_55_66 79_53_16 52_32_29 79_15_53 13_97_34 71_46_80 83_91_95 69_87_18 17_29_44 66_70_33 39_12_73 95_83_91 46_53_34 57_33_11 54_75_94 28_97_42 26_21_77'}
Node{identificator='26_21_77', x='-980', y='1123', raw='4', id='3108.9363', cor='-8539097', connected='77_46_31', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97 82_11_85 48_76_24 29_69_38 51_57_63 81_36_82 91_27_93 76_40_66 45_22_31 83_37_37 30_71_81 87_79_62 92_38_77 62_39_17 56_44_88 91_41_26 80_47_10 95_18_35 91_33_13 96_67_91 11_21_95 21_42_81 30_77_15 87_94_30 86_57_44 70_14_65 66_40_11 15_52_29 31_91_70 49_34_83 70_88_15 96_50_71 21_31_83 73_80_23 80_95_10 75_42_80 73_10_13 12_55_66 79_53_16 52_32_29 79_15_53 13_97_34 71_46_80 83_91_95 69_87_18 17_29_44 66_70_33 39_12_73 95_83_91 46_53_34 57_33_11 54_75_94 28_97_42'}
Node{identificator='16_18_39', x='-881', y='794', raw='4', id='3133.4956', cor='-14592921', connected='31_72_59', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97 82_11_85 48_76_24 29_69_38 51_57_63 81_36_82 91_27_93 76_40_66 45_22_31 83_37_37 30_71_81 87_79_62 92_38_77 62_39_17 56_44_88 91_41_26 80_47_10 95_18_35 91_33_13 96_67_91 11_21_95 21_42_81 30_77_15 87_94_30 86_57_44 70_14_65 66_40_11 15_52_29 31_91_70 49_34_83 70_88_15 96_50_71 21_31_83 73_80_23 80_95_10 75_42_80 73_10_13 12_55_66 79_53_16 52_32_29 94_35_62 71_80_98 69_60_40 77_24_55 27_65_49 89_88_75 94_90_72 76_32_49 85_47_17 68_52_96 10_26_86 72_41_28 22_20_26 43_69_96 45_78_19 50_89_73 43_71_66 54_77_31'}
Node{identificator='31_72_59', x='-900', y='780', raw='4', id='3157.0964', cor='-13410049', connected='54_74_45', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97 82_11_85 48_76_24 29_69_38 51_57_63 81_36_82 91_27_93 76_40_66 45_22_31 83_37_37 30_71_81 87_79_62 92_38_77 62_39_17 56_44_88 91_41_26 80_47_10 95_18_35 91_33_13 96_67_91 11_21_95 21_42_81 30_77_15 87_94_30 86_57_44 70_14_65 66_40_11 15_52_29 31_91_70 49_34_83 70_88_15 96_50_71 21_31_83 73_80_23 80_95_10 75_42_80 73_10_13 12_55_66 79_53_16 52_32_29 94_35_62 71_80_98 69_60_40 77_24_55 27_65_49 89_88_75 94_90_72 76_32_49 85_47_17 68_52_96 10_26_86 72_41_28 22_20_26 43_69_96 45_78_19 50_89_73 43_71_66 54_77_31 16_18_39'}
Node{identificator='54_74_45', x='-911', y='771', raw='4', id='3171.309', cor='-732545', connected='56_37_16', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97 82_11_85 48_76_24 29_69_38 51_57_63 81_36_82 91_27_93 76_40_66 45_22_31 83_37_37 30_71_81 87_79_62 92_38_77 62_39_17 56_44_88 91_41_26 80_47_10 95_18_35 91_33_13 96_67_91 11_21_95 21_42_81 30_77_15 87_94_30 86_57_44 70_14_65 66_40_11 15_52_29 31_91_70 49_34_83 70_88_15 96_50_71 21_31_83 73_80_23 80_95_10 75_42_80 73_10_13 12_55_66 79_53_16 52_32_29 94_35_62 71_80_98 69_60_40 77_24_55 27_65_49 89_88_75 94_90_72 76_32_49 85_47_17 68_52_96 10_26_86 72_41_28 22_20_26 43_69_96 45_78_19 50_89_73 43_71_66 54_77_31 16_18_39 31_72_59'}
Node{identificator='56_37_16', x='-925', y='779', raw='4', id='3187.4336', cor='-15288411', connected='67_21_51', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97 82_11_85 48_76_24 29_69_38 51_57_63 81_36_82 91_27_93 76_40_66 45_22_31 83_37_37 30_71_81 87_79_62 92_38_77 62_39_17 56_44_88 91_41_26 80_47_10 95_18_35 91_33_13 96_67_91 11_21_95 21_42_81 30_77_15 87_94_30 86_57_44 70_14_65 66_40_11 15_52_29 31_91_70 49_34_83 70_88_15 96_50_71 21_31_83 73_80_23 80_95_10 75_42_80 73_10_13 12_55_66 79_53_16 52_32_29 94_35_62 71_80_98 69_60_40 77_24_55 27_65_49 89_88_75 94_90_72 76_32_49 85_47_17 68_52_96 10_26_86 72_41_28 22_20_26 43_69_96 45_78_19 50_89_73 43_71_66 54_77_31 16_18_39 31_72_59 54_74_45'}
Node{identificator='67_21_51', x='-936', y='806', raw='4', id='3216.5884', cor='-7536815', connected='86_62_78', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97 82_11_85 48_76_24 29_69_38 51_57_63 81_36_82 91_27_93 76_40_66 45_22_31 83_37_37 30_71_81 87_79_62 92_38_77 62_39_17 56_44_88 91_41_26 80_47_10 95_18_35 91_33_13 96_67_91 11_21_95 21_42_81 30_77_15 87_94_30 86_57_44 70_14_65 66_40_11 15_52_29 31_91_70 49_34_83 70_88_15 96_50_71 21_31_83 73_80_23 80_95_10 75_42_80 73_10_13 12_55_66 79_53_16 52_32_29 94_35_62 71_80_98 69_60_40 77_24_55 27_65_49 89_88_75 94_90_72 76_32_49 85_47_17 68_52_96 10_26_86 72_41_28 22_20_26 43_69_96 45_78_19 50_89_73 43_71_66 54_77_31 16_18_39 31_72_59 54_74_45 56_37_16'}
Node{identificator='86_62_78', x='-938', y='831', raw='4', id='3241.6682', cor='-3605198', connected='57_89_73', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97 82_11_85 48_76_24 29_69_38 51_57_63 81_36_82 91_27_93 76_40_66 45_22_31 83_37_37 30_71_81 87_79_62 92_38_77 62_39_17 56_44_88 91_41_26 80_47_10 95_18_35 91_33_13 96_67_91 11_21_95 21_42_81 30_77_15 87_94_30 86_57_44 70_14_65 66_40_11 15_52_29 31_91_70 49_34_83 70_88_15 96_50_71 21_31_83 73_80_23 80_95_10 75_42_80 73_10_13 12_55_66 79_53_16 52_32_29 94_35_62 71_80_98 69_60_40 77_24_55 27_65_49 89_88_75 94_90_72 76_32_49 85_47_17 68_52_96 10_26_86 72_41_28 22_20_26 43_69_96 45_78_19 50_89_73 43_71_66 54_77_31 16_18_39 31_72_59 54_74_45 56_37_16 67_21_51'}
Node{identificator='57_89_73', x='-939', y='855', raw='4', id='3265.689', cor='-2698417', connected='30_57_71', minorisWay='77_30_59 96_28_22 79_37_52 97_89_70 11_66_37 41_91_66 45_54_53 63_45_13 69_19_11 58_53_38 84_66_82 33_35_60 94_47_11 38_53_97 82_11_85 48_76_24 29_69_38 51_57_63 81_36_82 91_27_93 76_40_66 45_22_31 83_37_37 30_71_81 87_79_62 92_38_77 62_39_17 56_44_88 91_41_26 80_47_10 95_18_35 91_33_13 96_67_91 11_21_95 21_42_81 30_77_15 87_94_30 86_57_44 70_14_65 66_40_11 15_52_29 31_91_70 49_34_83 70_88_15 96_50_71 21_31_83 73_80_23 80_95_10 75_42_80 73_10_13 12_55_66 79_53_16 52_32_29 94_35_62 71_80_98 69_60_40 77_24_55 27_65_49 89_88_75 94_90_72 76_32_49 85_47_17 68_52_96 10_26_86 72_41_28 22_20_26 43_69_96 45_78_19 50_89_73 43_71_66 54_77_31 16_18_39 31_72_59 54_74_45 56_37_16 67_21_51 86_62_78'}
