Node{identificator='52_84_37', x='751', y='403', raw='4', id='', cor='-8352428', connected='57_81_14', minorisWay=''}
Node{identificator='64_95_38', x='736', y='410', raw='4', id='', cor='-7847837', connected='52_84_37', minorisWay=''}
Node{identificator='57_81_14', x='757', y='422', raw='4', id='', cor='-10368290', connected='94_58_18', minorisWay=''}
Node{identificator='94_58_18', x='758', y='433', raw='4', id='', cor='-5471686', connected='', minorisWay=''}
Node{identificator='43_55_90', x='61', y='2413', raw='4', id='', cor='-5756402', connected='49_75_75', minorisWay=''}
Node{identificator='36_14_46', x='183', y='2448', raw='4', id='', cor='-13322468', connected='', minorisWay=''}
Node{identificator='58_14_61', x='158', y='2441', raw='4', id='', cor='-14424573', connected='79_70_81', minorisWay=''}
Node{identificator='49_75_75', x='73', y='2415', raw='4', id='', cor='-5880079', connected='79_70_81', minorisWay=''}
Node{identificator='79_70_81', x='79', y='2417', raw='4', id='', cor='-12522893', connected='58_14_61', minorisWay=''}
Node{identificator='66_44_76', x='207', y='2455', raw='4', id='', cor='-3700014', connected='', minorisWay=''}
Node{identificator='60_90_97', x='254', y='2470', raw='4', id='', cor='-3983312', connected='', minorisWay=''}
Node{identificator='92_88_21', x='219', y='2410', raw='4', id='', cor='-11455644', connected='', minorisWay=''}
Node{identificator='82_51_60', x='225', y='2389', raw='4', id='', cor='-2634028', connected='', minorisWay=''}
Node{identificator='93_58_14', x='240', y='2396', raw='4', id='', cor='-14613970', connected='', minorisWay=''}
Node{identificator='74_57_48', x='270', y='2402', raw='4', id='', cor='-16618029', connected='', minorisWay=''}
Node{identificator='23_95_11', x='324', y='2489', raw='4', id='', cor='-6695884', connected='', minorisWay=''}
Node{identificator='41_62_21', x='335', y='2493', raw='4', id='', cor='-11015381', connected='', minorisWay=''}
Node{identificator='51_25_76', x='352', y='2497', raw='4', id='', cor='-4465444', connected='', minorisWay=''}
Node{identificator='97_55_30', x='384', y='2459', raw='4', id='', cor='-10930291', connected='', minorisWay=''}
Node{identificator='51_76_88', x='325', y='2410', raw='4', id='', cor='-1972488', connected='', minorisWay=''}
Node{identificator='25_64_23', x='337', y='2409', raw='4', id='', cor='-9102321', connected='', minorisWay=''}
Node{identificator='87_70_14', x='395', y='2392', raw='4', id='', cor='-2141303', connected='', minorisWay=''}
Node{identificator='28_33_36', x='529', y='2328', raw='4', id='', cor='-6884940', connected='', minorisWay=''}
Node{identificator='14_36_79', x='760', y='2344', raw='4', id='', cor='-10291702', connected='', minorisWay=''}
Node{identificator='66_32_44', x='796', y='2343', raw='4', id='', cor='-13548325', connected='', minorisWay=''}
Node{identificator='75_41_30', x='897', y='2221', raw='4', id='', cor='-16148368', connected='', minorisWay=''}
Node{identificator='41_68_87', x='901', y='2201', raw='4', id='', cor='-12660756', connected='', minorisWay=''}
Node{identificator='62_71_50', x='897', y='2184', raw='4', id='', cor='-6890171', connected='', minorisWay=''}
Node{identificator='47_70_13', x='899', y='2163', raw='4', id='', cor='-11605406', connected='', minorisWay=''}
Node{identificator='51_82_70', x='986', y='2102', raw='4', id='', cor='-1968443', connected='83_12_68', minorisWay=''}
Node{identificator='83_12_68', x='1045', y='2068', raw='4', id='', cor='-9538221', connected='24_25_34', minorisWay=''}
Node{identificator='24_25_34', x='1069', y='2060', raw='4', id='', cor='-9732494', connected='84_90_65', minorisWay=''}
Node{identificator='84_90_65', x='1091', y='2055', raw='4', id='', cor='-15079878', connected='30_49_89', minorisWay=''}
Node{identificator='30_49_89', x='1111', y='2051', raw='4', id='', cor='-8539255', connected='70_92_49', minorisWay=''}
Node{identificator='85_96_89', x='1126', y='2030', raw='4', id='', cor='-7396985', connected='14_71_65', minorisWay=''}
Node{identificator='14_71_65', x='1117', y='2014', raw='4', id='', cor='-1755812', connected='24_49_24', minorisWay=''}
Node{identificator='24_49_24', x='1090', y='2012', raw='4', id='', cor='-701089', connected='92_72_16', minorisWay=''}
Node{identificator='92_72_16', x='1069', y='2007', raw='4', id='', cor='-12098425', connected='74_49_31', minorisWay=''}
Node{identificator='74_49_31', x='1046', y='1991', raw='4', id='', cor='-14732619', connected='', minorisWay=''}
Node{identificator='70_92_49', x='1121', y='2043', raw='4', id='', cor='-16431607', connected='85_96_89', minorisWay=''}
Node{identificator='51_70_77', x='1070', y='2052', raw='4', id='', cor='-12610004', connected='', minorisWay=''}
Node{identificator='16_14_36', x='1102', y='2038', raw='4', id='', cor='-5245362', connected='', minorisWay=''}
Node{identificator='87_20_82', x='1138', y='2020', raw='4', id='', cor='-12853290', connected='', minorisWay=''}
Node{identificator='79_82_27', x='1169', y='1988', raw='4', id='', cor='-6696015', connected='', minorisWay=''}
Node{identificator='27_30_33', x='1188', y='1949', raw='4', id='', cor='-7221553', connected='', minorisWay=''}
Node{identificator='37_14_59', x='1197', y='1913', raw='4', id='', cor='-7856550', connected='', minorisWay=''}
Node{identificator='40_42_75', x='1195', y='1823', raw='4', id='', cor='-15653640', connected='', minorisWay=''}
Node{identificator='79_65_73', x='1210', y='1783', raw='4', id='', cor='-9031422', connected='', minorisWay=''}
Node{identificator='94_53_49', x='1234', y='1761', raw='4', id='', cor='-8673674', connected='', minorisWay=''}
