Node{identificator='67_69_67', x='919', y='740', raw='2', id='', cor='-3515642', connected='96_98_12 98_93_44', minorisWay=''}
Node{identificator='98_93_44', x='899', y='751', raw='2', id='', cor='-13393518', connected='29_30_36', minorisWay=''}
Node{identificator='29_30_36', x='892', y='754', raw='2', id='', cor='-1362259', connected='50_32_83', minorisWay=''}
Node{identificator='85_56_34', x='888', y='767', raw='2', id='', cor='-14010060', connected='46_81_84', minorisWay=''}
Node{identificator='46_81_84', x='879', y='780', raw='2', id='', cor='-9374441', connected='24_99_19', minorisWay=''}
Node{identificator='24_99_19', x='866', y='788', raw='2', id='', cor='-14511891', connected='54_17_42', minorisWay=''}
Node{identificator='54_17_42', x='856', y='796', raw='2', id='', cor='-9463440', connected='14_22_69', minorisWay=''}
Node{identificator='14_22_69', x='854', y='806', raw='2', id='', cor='-1590949', connected='70_55_36', minorisWay=''}
Node{identificator='70_55_36', x='862', y='828', raw='2', id='', cor='-9045448', connected='33_31_38', minorisWay=''}
Node{identificator='33_31_38', x='868', y='846', raw='2', id='', cor='-11402473', connected='34_86_62', minorisWay=''}
Node{identificator='50_75_38', x='855', y='844', raw='2', id='', cor='-12065484', connected='50_86_99', minorisWay=''}
Node{identificator='96_98_12', x='906', y='720', raw='2', id='', cor='-4046950', connected='77_42_41', minorisWay=''}
Node{identificator='77_42_41', x='901', y='722', raw='2', id='', cor='-11985582', connected='71_75_99', minorisWay=''}
Node{identificator='71_75_99', x='888', y='717', raw='2', id='', cor='-7586405', connected='78_92_75', minorisWay=''}
Node{identificator='78_92_75', x='881', y='726', raw='2', id='', cor='-5128368', connected='21_92_29', minorisWay=''}
Node{identificator='21_92_29', x='887', y='719', raw='2', id='', cor='-8987482', connected='98_97_63', minorisWay=''}
Node{identificator='98_97_63', x='883', y='727', raw='2', id='', cor='-4246305', connected='69_45_35', minorisWay=''}
Node{identificator='69_45_35', x='889', y='719', raw='2', id='', cor='-8432630', connected='24_59_43', minorisWay=''}
Node{identificator='24_59_43', x='877', y='711', raw='2', id='', cor='-12754443', connected='57_33_24', minorisWay=''}
Node{identificator='57_33_24', x='869', y='706', raw='2', id='', cor='-7743347', connected='42_10_76', minorisWay=''}
Node{identificator='42_10_76', x='876', y='712', raw='2', id='', cor='-5543494', connected='39_25_56', minorisWay=''}
Node{identificator='39_25_56', x='868', y='707', raw='2', id='', cor='-6373123', connected='74_40_63', minorisWay=''}
Node{identificator='74_40_63', x='874', y='713', raw='2', id='', cor='-15757344', connected='74_14_11', minorisWay=''}
Node{identificator='74_14_11', x='872', y='716', raw='2', id='', cor='-1578796', connected='64_13_56', minorisWay=''}
Node{identificator='64_13_56', x='867', y='710', raw='2', id='', cor='-12150108', connected='89_65_68', minorisWay=''}
Node{identificator='89_65_68', x='861', y='709', raw='2', id='', cor='-6406638', connected='61_43_38', minorisWay=''}
Node{identificator='61_43_38', x='853', y='711', raw='2', id='', cor='-1612526', connected='98_72_11', minorisWay=''}
Node{identificator='98_72_11', x='844', y='719', raw='2', id='', cor='-9141738', connected='36_20_35', minorisWay=''}
Node{identificator='36_20_35', x='836', y='727', raw='2', id='', cor='-601665', connected='82_69_70', minorisWay=''}
Node{identificator='82_69_70', x='828', y='730', raw='2', id='', cor='-5807486', connected='47_24_67', minorisWay=''}
Node{identificator='47_24_67', x='819', y='731', raw='2', id='', cor='-13928293', connected='20_60_63', minorisWay=''}
Node{identificator='20_60_63', x='820', y='737', raw='2', id='', cor='-998810', connected='83_87_33', minorisWay=''}
Node{identificator='83_87_33', x='826', y='751', raw='2', id='', cor='-9666922', connected='84_48_79', minorisWay=''}
Node{identificator='84_48_79', x='829', y='761', raw='2', id='', cor='-16633601', connected='', minorisWay=''}
Node{identificator='50_62_94', x='860', y='859', raw='2', id='', cor='-6590567', connected='50_75_38', minorisWay=''}
Node{identificator='34_86_62', x='870', y='854', raw='2', id='', cor='-14837147', connected='50_62_94', minorisWay=''}
Node{identificator='50_86_99', x='853', y='837', raw='2', id='', cor='-4251270', connected='', minorisWay=''}
Node{identificator='50_32_83', x='890', y='750', raw='2', id='', cor='-2473566', connected='58_68_34', minorisWay=''}
Node{identificator='58_68_34', x='887', y='755', raw='2', id='', cor='-13393414', connected='79_10_20', minorisWay=''}
Node{identificator='79_10_20', x='889', y='763', raw='2', id='', cor='-14313841', connected='85_56_34', minorisWay=''}
