Node{identificator='84_86_73', x='683', y='459', raw='20', id='282.11346', cor='-13894424', connected='91_39_22', minorisWay='38_83_44'}
Node{identificator='91_39_22', x='858', y='457', raw='20', id='350.0243', cor='-11574907', connected='81_47_30', minorisWay='38_83_44 28_76_56'}
Node{identificator='64_39_23', x='858', y='620', raw='20', id='750.9487', cor='-15098989', connected='91_39_22 84_86_73', minorisWay='38_83_44 28_76_56 91_39_22 81_47_30'}
Node{identificator='38_83_44', x='675', y='177', raw='20', id='1000000', cor='-15047982', connected='84_86_73 28_76_56', minorisWay=''}
Node{identificator='72_63_95', x='656', y='689', raw='20', id='1113.7122', cor='-5549153', connected='84_86_73', minorisWay='38_83_44 28_76_56 91_39_22 81_47_30 50_36_74 52_94_77'}
Node{identificator='28_76_56', x='843', y='347', raw='20', id='239.00627', cor='-4618830', connected='91_39_22', minorisWay='38_83_44'}
Node{identificator='81_47_30', x='1035', y='590', raw='20', id='571.4244', cor='-570530', connected='64_39_23 50_36_74', minorisWay='38_83_44 28_76_56 91_39_22'}
Node{identificator='50_36_74', x='1035', y='736', raw='20', id='717.4244', cor='-5118116', connected='52_94_77 45_10_85 52_63_28', minorisWay='38_83_44 28_76_56 91_39_22 81_47_30'}
Node{identificator='52_94_77', x='839', y='765', raw='20', id='915.55817', cor='-5885920', connected='72_63_95', minorisWay='38_83_44 28_76_56 91_39_22 81_47_30 50_36_74'}
Node{identificator='45_10_85', x='1296', y='244', raw='20', id='1274.367', cor='-3560433', connected='38_83_44 46_37_14', minorisWay='38_83_44 28_76_56 91_39_22 81_47_30 50_36_74'}
Node{identificator='46_37_14', x='1272', y='573', raw='20', id='1604.2412', cor='-4432938', connected='52_63_28', minorisWay='38_83_44 28_76_56 91_39_22 81_47_30 50_36_74 45_10_85'}
Node{identificator='52_63_28', x='1280', y='806', raw='20', id='972.2282', cor='-2576668', connected='', minorisWay='38_83_44 28_76_56 91_39_22 81_47_30 50_36_74'}
